ID,GC_Content
lcl|NC_002695.2_cds_NP_308066.2_35,0.539
lcl|NC_002695.2_cds_NP_308067.2_36,0.506
lcl|NC_002695.2_cds_NP_308068.1_37,0.525
lcl|NC_002695.2_cds_NP_308069.1_38,0.538
lcl|NC_002695.2_cds_NP_308070.1_39,0.519
lcl|NC_002695.2_cds_NP_308071.2_40,0.521
lcl|NC_002695.2_cds_NP_308072.1_41,0.559
lcl|NC_002695.2_cds_NP_308073.1_42,0.549
lcl|NC_002695.2_cds_NP_308074.1_43,0.569
lcl|NC_002695.2_cds_NP_308075.1_44,0.534
lcl|NC_002695.2_cds_NP_308076.1_45,0.548
lcl|NC_002695.2_cds_NP_308077.1_46,0.558
lcl|NC_002695.2_cds_NP_308078.2_47,0.514
lcl|NC_002695.2_cds_NP_308079.1_48,0.487
lcl|NC_002695.2_cds_NP_308080.1_49,0.457
lcl|NC_002695.2_cds_NP_308081.1_50,0.559
lcl|NC_002695.2_cds_NP_308082.1_51,0.519
lcl|NC_002695.2_cds_NP_308083.1_52,0.532
lcl|NC_002695.2_cds_NP_308084.1_53,0.562
lcl|NC_002695.2_cds_NP_308085.1_54,0.538
lcl|NC_002695.2_cds_NP_308086.1_55,0.513
lcl|NC_002695.2_cds_NP_308087.1_56,0.528
lcl|NC_002695.2_cds_NP_308088.1_57,0.418
lcl|NC_002695.2_cds_NP_308089.1_58,0.541
lcl|NC_002695.2_cds_NP_308090.1_59,0.55
lcl|NC_002695.2_cds_NP_308091.1_60,0.556
lcl|NC_002695.2_cds_NP_308092.1_61,0.549
lcl|NC_002695.2_cds_NP_308093.1_62,0.556
lcl|NC_002695.2_cds_NP_308094.1_63,0.58
lcl|NC_002695.2_cds_NP_308095.1_64,0.529
lcl|NC_002695.2_cds_NP_308096.1_65,0.544
lcl|NC_002695.2_cds_NP_308097.1_66,0.569
lcl|NC_002695.2_cds_NP_308098.1_67,0.59
lcl|NC_002695.2_cds_NP_308099.1_68,0.529
lcl|NC_002695.2_cds_NP_308100.1_69,0.432
lcl|NC_002695.2_cds_NP_308101.1_70,0.552
lcl|NC_002695.2_cds_NP_308102.1_71,0.523
lcl|NC_002695.2_cds_NP_308103.1_72,0.557
lcl|NC_002695.2_cds_NP_308104.2_73,0.549
lcl|NC_002695.2_cds_NP_308105.1_74,0.531
lcl|NC_002695.2_cds_NP_308106.1_75,0.471
lcl|NC_002695.2_cds_NP_308107.3_76,0.458
lcl|NC_002695.2_cds_NP_308108.2_77,0.528
lcl|NC_002695.2_cds_NP_308109.1_78,0.494
lcl|NC_002695.2_cds_NP_308110.1_79,0.448
lcl|NC_002695.2_cds_NP_308111.1_80,0.548
lcl|NC_002695.2_cds_NP_308112.1_81,0.523
lcl|NC_002695.2_cds_NP_308113.1_82,0.549
lcl|NC_002695.2_cds_NP_308114.1_83,0.505
lcl|NC_002695.2_cds_NP_308115.1_84,0.537
lcl|NC_002695.2_cds_NP_308116.1_85,0.563
lcl|NC_002695.2_cds_NP_308117.1_86,0.547
lcl|NC_002695.2_cds_NP_308118.1_87,0.531
lcl|NC_002695.2_cds_NP_308119.1_88,0.552
lcl|NC_002695.2_cds_NP_308120.1_89,0.529
lcl|NC_002695.2_cds_NP_308121.1_90,0.56
lcl|NC_002695.2_cds_NP_308122.1_91,0.546
lcl|NC_002695.2_cds_NP_308123.1_92,0.517
lcl|NC_002695.2_cds_NP_308124.1_93,0.535
lcl|NC_002695.2_cds_NP_308125.1_94,0.523
lcl|NC_002695.2_cds_NP_308126.1_95,0.543
lcl|NC_002695.2_cds_NP_308127.1_96,0.512
lcl|NC_002695.2_cds_NP_308128.2_97,0.546
lcl|NC_002695.2_cds_NP_308129.1_98,0.522
lcl|NC_002695.2_cds_NP_308130.1_99,0.484
lcl|NC_002695.2_cds_NP_308132.1_100,0.52
lcl|NC_002695.2_cds_NP_308133.1_101,0.513
lcl|NC_002695.2_cds_NP_308134.1_102,0.527
lcl|NC_002695.2_cds_NP_308135.1_103,0.51
lcl|NC_002695.2_cds_NP_308137.1_104,0.522
lcl|NC_002695.2_cds_NP_308138.1_105,0.54
lcl|NC_002695.2_cds_NP_308139.1_106,0.533
lcl|NC_002695.2_cds_NP_308140.1_107,0.536
lcl|NC_002695.2_cds_NP_308141.1_108,0.54
lcl|NC_002695.2_cds_NP_308142.1_109,0.52
lcl|NC_002695.2_cds_NP_308143.2_110,0.525
lcl|NC_002695.2_cds_NP_308144.1_111,0.554
lcl|NC_002695.2_cds_NP_308145.1_112,0.531
lcl|NC_002695.2_cds_NP_308146.1_113,0.547
lcl|NC_002695.2_cds_NP_308147.1_114,0.525
lcl|NC_002695.2_cds_NP_308148.1_115,0.539
lcl|NC_002695.2_cds_NP_308149.1_116,0.557
lcl|NC_002695.2_cds_NP_308150.2_117,0.521
lcl|NC_002695.2_cds_NP_308151.1_118,0.46
lcl|NC_002695.2_cds_NP_308152.1_119,0.512
lcl|NC_002695.2_cds_NP_308153.3_120,0.502
lcl|NC_002695.2_cds_NP_308154.1_121,0.542
lcl|NC_002695.2_cds_NP_308155.1_122,0.552
lcl|NC_002695.2_cds_NP_308156.2_123,0.503
lcl|NC_002695.2_cds_NP_308157.1_124,0.502
lcl|NC_002695.2_cds_NP_308158.1_125,0.493
lcl|NC_002695.2_cds_NP_308159.1_126,0.51
lcl|NC_002695.2_cds_NP_308160.1_127,0.492
lcl|NC_002695.2_cds_NP_308161.1_128,0.493
lcl|NC_002695.2_cds_NP_308162.1_129,0.525
lcl|NC_002695.2_cds_NP_308163.1_130,0.486
lcl|NC_002695.2_cds_NP_308164.1_131,0.542
lcl|NC_002695.2_cds_NP_308165.1_132,0.541
lcl|NC_002695.2_cds_NP_308166.1_133,0.436
lcl|NC_002695.2_cds_NP_308167.1_134,0.472
lcl|NC_002695.2_cds_NP_308168.1_135,0.454
lcl|NC_002695.2_cds_NP_308169.2_136,0.492
lcl|NC_002695.2_cds_NP_308170.1_137,0.489
lcl|NC_002695.2_cds_NP_308171.1_138,0.483
lcl|NC_002695.2_cds_NP_308172.1_139,0.461
lcl|NC_002695.2_cds_NP_308173.1_140,0.501
lcl|NC_002695.2_cds_NP_308174.3_141,0.558
lcl|NC_002695.2_cds_NP_308175.3_142,0.538
lcl|NC_002695.2_cds_NP_308176.1_143,0.522
lcl|NC_002695.2_cds_NP_308177.1_144,0.494
lcl|NC_002695.2_cds_NP_308178.2_145,0.557
lcl|NC_002695.2_cds_NP_308179.2_146,0.567
lcl|NC_002695.2_cds_NP_308180.1_147,0.549
lcl|NC_002695.2_cds_NP_308181.1_148,0.516
lcl|NC_002695.2_cds_NP_308182.1_149,0.568
lcl|NC_002695.2_cds_NP_308183.1_150,0.545
lcl|NC_002695.2_cds_NP_308184.1_151,0.601
lcl|NC_002695.2_cds_NP_308185.1_152,0.556
lcl|NC_002695.2_cds_NP_308186.1_153,0.541
lcl|NC_002695.2_cds_NP_308187.1_154,0.51
lcl|NC_002695.2_cds_NP_308188.1_155,0.534
lcl|NC_002695.2_cds_NP_308189.1_156,0.524
lcl|NC_002695.2_cds_NP_308190.1_157,0.528
lcl|NC_002695.2_cds_NP_308191.1_158,0.478
lcl|NC_002695.2_cds_NP_308192.1_159,0.538
lcl|NC_002695.2_cds_NP_308193.1_160,0.528
lcl|NC_002695.2_cds_NP_308194.1_161,0.444
lcl|NC_002695.2_cds_NP_308195.1_162,0.531
lcl|NC_002695.2_cds_NP_308196.1_163,0.532
lcl|NC_002695.2_cds_NP_308197.1_164,0.498
lcl|NC_002695.2_cds_NP_308198.1_165,0.514
lcl|NC_002695.2_cds_NP_308199.1_166,0.498
lcl|NC_002695.2_cds_NP_308200.1_167,0.529
lcl|NC_002695.2_cds_NP_308201.1_168,0.509
lcl|NC_002695.2_cds_NP_308202.1_169,0.526
lcl|NC_002695.2_cds_NP_308203.2_170,0.497
lcl|NC_002695.2_cds_NP_308204.3_171,0.512
lcl|NC_002695.2_cds_NP_308205.1_172,0.508
lcl|NC_002695.2_cds_NP_308206.1_173,0.505
lcl|NC_002695.2_cds_NP_308207.1_174,0.5
lcl|NC_002695.2_cds_NP_308208.1_175,0.529
lcl|NC_002695.2_cds_NP_308209.2_176,0.507
lcl|NC_002695.2_cds_NP_308210.1_177,0.535
lcl|NC_002695.2_cds_NP_308211.1_178,0.537
lcl|NC_002695.2_cds_NP_308212.1_179,0.566
lcl|NC_002695.2_cds_NP_308213.1_180,0.55
lcl|NC_002695.2_cds_NP_308214.1_181,0.529
lcl|NC_002695.2_cds_NP_308215.1_182,0.51
lcl|NC_002695.2_cds_NP_308216.2_183,0.518
lcl|NC_002695.2_cds_NP_308217.1_184,0.586
lcl|NC_002695.2_cds_NP_308218.3_185,0.479
lcl|NC_002695.2_cds_YP_009502588.1_186,0.507
lcl|NC_002695.2_cds_NP_308219.1_187,0.547
lcl|NC_002695.2_cds_NP_308220.1_188,0.545
lcl|NC_002695.2_cds_NP_308221.1_189,0.523
lcl|NC_002695.2_cds_NP_308222.1_190,0.492
lcl|NC_002695.2_cds_NP_308223.1_191,0.545
lcl|NC_002695.2_cds_NP_308224.1_192,0.545
lcl|NC_002695.2_cds_NP_308225.1_193,0.536
lcl|NC_002695.2_cds_NP_308226.1_194,0.487
lcl|NC_002695.2_cds_NP_308227.1_195,0.521
lcl|NC_002695.2_cds_NP_308228.1_196,0.519
lcl|NC_002695.2_cds_NP_308229.1_197,0.502
lcl|NC_002695.2_cds_NP_308230.1_198,0.464
lcl|NC_002695.2_cds_NP_308231.1_199,0.499
lcl|NC_002695.2_cds_NP_308232.2_200,0.523
lcl|NC_002695.2_cds_NP_308233.1_201,0.49
lcl|NC_002695.2_cds_NP_308234.1_202,0.52
lcl|NC_002695.2_cds_NP_308235.1_203,0.405
lcl|NC_002695.2_cds_NP_308236.2_204,0.492
lcl|NC_002695.2_cds_NP_308237.1_205,0.506
lcl|NC_002695.2_cds_NP_308238.2_206,0.511
lcl|NC_002695.2_cds_YP_009502589.1_207,0.423
lcl|NC_002695.2_cds_NP_308239.1_208,0.283
lcl|NC_002695.2_cds_NP_308240.1_209,0.34
lcl|NC_002695.2_cds_NP_308241.2_210,0.355
lcl|NC_002695.2_cds_NP_302948.1_211,0.284
lcl|NC_002695.2_cds_NP_308243.1_212,0.329
lcl|NC_002695.2_cds_NP_308244.1_213,0.539
lcl|NC_002695.2_cds_NP_308245.2_214,0.567
lcl|NC_002695.2_cds_NP_308249.1_215,0.638
lcl|NC_002695.2_cds_NP_308250.1_216,0.598
lcl|NC_002695.2_cds_NP_308251.1_217,0.53
lcl|NC_002695.2_cds_NP_308252.1_218,0.555
lcl|NC_002695.2_cds_NP_308253.1_219,0.516
lcl|NC_002695.2_cds_NP_308254.1_220,0.57
lcl|NC_002695.2_cds_NP_308255.1_221,0.549
lcl|NC_002695.2_cds_NP_308256.1_222,0.534
lcl|NC_002695.2_cds_NP_308257.1_223,0.524
lcl|NC_002695.2_cds_NP_308258.1_224,0.517
lcl|NC_002695.2_cds_NP_308259.1_225,0.493
lcl|NC_002695.2_cds_NP_308260.1_226,0.505
lcl|NC_002695.2_cds_NP_308261.1_227,0.539
lcl|NC_002695.2_cds_NP_308263.1_228,0.556
lcl|NC_002695.2_cds_NP_308264.2_229,0.613
lcl|NC_002695.2_cds_NP_308265.2_230,0.386
lcl|NC_002695.2_cds_NP_308268.1_231,0.418
lcl|NC_002695.2_cds_NP_308269.1_232,0.566
lcl|NC_002695.2_cds_NP_308270.1_233,0.257
lcl|NC_002695.2_cds_NP_308271.1_234,0.284
lcl|NC_002695.2_cds_NP_308272.1_235,0.376
lcl|NC_002695.2_cds_NP_308273.1_236,0.549
lcl|NC_002695.2_cds_NP_308274.2_237,0.499
lcl|NC_002695.2_cds_NP_308275.2_238,0.563
lcl|NC_002695.2_cds_NP_308276.1_239,0.509
lcl|NC_002695.2_cds_NP_308277.1_240,0.527
lcl|NC_002695.2_cds_NP_308278.1_241,0.493
lcl|NC_002695.2_cds_NP_308279.1_242,0.402
lcl|NC_002695.2_cds_NP_308280.1_243,0.475
lcl|NC_002695.2_cds_NP_308281.2_244,0.522
lcl|NC_002695.2_cds_NP_308284.2_245,0.585
lcl|NC_002695.2_cds_NP_308283.2_246,0.53
lcl|NC_002695.2_cds_NP_308285.1_247,0.539
lcl|NC_002695.2_cds_NP_308286.1_248,0.412
lcl|NC_002695.2_cds_NP_308287.1_249,0.431
lcl|NC_002695.2_cds_NP_308288.2_250,0.458
lcl|NC_002695.2_cds_NP_308289.1_251,0.517
lcl|NC_002695.2_cds_NP_308290.1_252,0.553
lcl|NC_002695.2_cds_NP_308291.1_253,0.516
lcl|NC_002695.2_cds_NP_308292.1_254,0.516
lcl|NC_002695.2_cds_NP_308293.1_255,0.534
lcl|NC_002695.2_cds_NP_308294.1_256,0.5
lcl|NC_002695.2_cds_NP_308295.1_257,0.451
lcl|NC_002695.2_cds_NP_308296.1_258,0.558
lcl|NC_002695.2_cds_NP_308297.1_259,0.547
lcl|NC_002695.2_cds_NP_308299.1_260,0.504
lcl|NC_002695.2_cds_NP_308300.1_261,0.395
lcl|NC_002695.2_cds_NP_308301.1_262,0.462
lcl|NC_002695.2_cds_NP_308302.1_263,0.428
lcl|NC_002695.2_cds_NP_308303.1_264,0.503
lcl|NC_002695.2_cds_NP_308307.1_265,0.482
lcl|NC_002695.2_cds_NP_308308.1_266,0.493
lcl|NC_002695.2_cds_NP_308309.1_267,0.45
lcl|NC_002695.2_cds_NP_308310.1_268,0.491
lcl|NC_002695.2_cds_NP_308311.1_269,0.499
lcl|NC_002695.2_cds_NP_308312.1_270,0.432
lcl|NC_002695.2_cds_NP_308314.1_271,0.352
lcl|NC_002695.2_cds_NP_308315.1_272,0.48
lcl|NC_002695.2_cds_NP_308316.1_273,0.451
lcl|NC_002695.2_cds_NP_308317.1_274,0.357
lcl|NC_002695.2_cds_NP_308318.1_275,0.306
lcl|NC_002695.2_cds_NP_308319.1_276,0.318
lcl|NC_002695.2_cds_NP_308323.1_277,0.491
lcl|NC_002695.2_cds_NP_308324.1_278,0.513
lcl|NC_002695.2_cds_NP_308325.1_279,0.501
lcl|NC_002695.2_cds_NP_308326.1_280,0.563
lcl|NC_002695.2_cds_NP_308327.1_281,0.529
lcl|NC_002695.2_cds_NP_308328.1_282,0.495
lcl|NC_002695.2_cds_NP_308329.1_283,0.556
lcl|NC_002695.2_cds_NP_308330.1_284,0.522
lcl|NC_002695.2_cds_NP_308331.1_285,0.313
lcl|NC_002695.2_cds_NP_308332.2_286,0.5
lcl|NC_002695.2_cds_NP_308333.1_287,0.497
lcl|NC_002695.2_cds_NP_308334.1_288,0.344
lcl|NC_002695.2_cds_NP_308336.1_289,0.534
lcl|NC_002695.2_cds_NP_308337.2_290,0.537
lcl|NC_002695.2_cds_NP_308338.2_291,0.576
lcl|NC_002695.2_cds_NP_308340.1_292,0.6
lcl|NC_002695.2_cds_NP_308341.1_293,0.595
lcl|NC_002695.2_cds_NP_308342.1_294,0.61
lcl|NC_002695.2_cds_NP_308343.1_295,0.548
lcl|NC_002695.2_cds_NP_308344.1_296,0.452
lcl|NC_002695.2_cds_NP_308346.2_297,0.53
lcl|NC_002695.2_cds_NP_308347.1_298,0.515
lcl|NC_002695.2_cds_NP_308348.1_299,0.55
lcl|NC_002695.2_cds_NP_308349.1_300,0.55
lcl|NC_002695.2_cds_NP_308350.1_301,0.529
lcl|NC_002695.2_cds_NP_308351.2_302,0.392
lcl|NC_002695.2_cds_NP_308353.1_303,0.453
lcl|NC_002695.2_cds_YP_009502590.1_304,0.433
lcl|NC_002695.2_cds_NP_308354.2_305,0.461
lcl|NC_002695.2_cds_NP_308355.2_306,0.517
lcl|NC_002695.2_cds_NP_308356.1_307,0.586
lcl|NC_002695.2_cds_NP_308357.1_308,0.585
lcl|NC_002695.2_cds_NP_308358.1_309,0.441
lcl|NC_002695.2_cds_NP_308359.1_310,0.455
lcl|NC_002695.2_cds_NP_308360.1_311,0.438
lcl|NC_002695.2_cds_NP_308361.1_312,0.381
lcl|NC_002695.2_cds_NP_308362.1_313,0.509
lcl|NC_002695.2_cds_NP_308363.1_314,0.524
lcl|NC_002695.2_cds_NP_308364.2_315,0.436
lcl|NC_002695.2_cds_NP_308365.3_316,0.43
lcl|NC_002695.2_cds_NP_308366.1_317,0.451
lcl|NC_002695.2_cds_NP_308369.2_318,0.455
lcl|NC_002695.2_cds_NP_308370.1_319,0.506
lcl|NC_002695.2_cds_NP_308371.1_320,0.506
lcl|NC_002695.2_cds_NP_308372.1_321,0.501
lcl|NC_002695.2_cds_NP_308373.2_322,0.524
lcl|NC_002695.2_cds_NP_308376.2_323,0.502
lcl|NC_002695.2_cds_NP_308377.1_324,0.426
lcl|NC_002695.2_cds_NP_308378.1_325,0.471
lcl|NC_002695.2_cds_NP_308379.2_326,0.488
lcl|NC_002695.2_cds_NP_303089.1_327,0.252
lcl|NC_002695.2_cds_NP_308384.1_328,0.574
lcl|NC_002695.2_cds_NP_308385.2_329,0.587
lcl|NC_002695.2_cds_NP_308386.3_330,0.568
lcl|NC_002695.2_cds_NP_308387.1_331,0.554
lcl|NC_002695.2_cds_NP_308389.1_332,0.497
lcl|NC_002695.2_cds_NP_308390.1_333,0.458
lcl|NC_002695.2_cds_NP_308393.1_334,0.545
lcl|NC_002695.2_cds_NP_308394.1_335,0.46
lcl|NC_002695.2_cds_NP_308395.1_336,0.471
lcl|NC_002695.2_cds_NP_308396.1_337,0.559
lcl|NC_002695.2_cds_NP_308397.1_338,0.586
lcl|NC_002695.2_cds_NP_308398.1_339,0.548
lcl|NC_002695.2_cds_NP_308399.1_340,0.567
lcl|NC_002695.2_cds_NP_308400.1_341,0.563
lcl|NC_002695.2_cds_YP_009502591.1_342,0.45
lcl|NC_002695.2_cds_NP_308401.1_343,0.479
lcl|NC_002695.2_cds_NP_308402.2_344,0.513
lcl|NC_002695.2_cds_NP_308404.1_345,0.508
lcl|NC_002695.2_cds_NP_308405.1_346,0.515
lcl|NC_002695.2_cds_NP_308406.1_347,0.533
lcl|NC_002695.2_cds_NP_308407.1_348,0.39
lcl|NC_002695.2_cds_NP_308409.4_349,0.494
lcl|NC_002695.2_cds_NP_308410.1_350,0.388
lcl|NC_002695.2_cds_NP_308411.1_351,0.553
lcl|NC_002695.2_cds_NP_308412.1_352,0.562
lcl|NC_002695.2_cds_NP_308413.1_353,0.56
lcl|NC_002695.2_cds_NP_308414.1_354,0.561
lcl|NC_002695.2_cds_NP_308415.1_355,0.582
lcl|NC_002695.2_cds_NP_308416.1_356,0.541
lcl|NC_002695.2_cds_NP_308417.1_357,0.534
lcl|NC_002695.2_cds_NP_308418.1_358,0.553
lcl|NC_002695.2_cds_NP_308419.2_359,0.568
lcl|NC_002695.2_cds_NP_308420.1_360,0.52
lcl|NC_002695.2_cds_NP_308421.2_361,0.58
lcl|NC_002695.2_cds_NP_308422.1_362,0.418
lcl|NC_002695.2_cds_NP_308423.1_363,0.459
lcl|NC_002695.2_cds_NP_308424.1_364,0.557
lcl|NC_002695.2_cds_NP_308425.4_365,0.562
lcl|NC_002695.2_cds_NP_308426.1_366,0.518
lcl|NC_002695.2_cds_NP_308427.2_367,0.477
lcl|NC_002695.2_cds_NP_308428.3_368,0.537
lcl|NC_002695.2_cds_NP_308429.1_369,0.569
lcl|NC_002695.2_cds_NP_308430.1_370,0.572
lcl|NC_002695.2_cds_NP_308431.3_371,0.544
lcl|NC_002695.2_cds_NP_308432.2_372,0.556
lcl|NC_002695.2_cds_NP_308433.1_373,0.547
lcl|NC_002695.2_cds_NP_308434.1_374,0.565
lcl|NC_002695.2_cds_NP_308435.2_375,0.573
lcl|NC_002695.2_cds_NP_308436.2_376,0.476
lcl|NC_002695.2_cds_NP_308437.1_377,0.489
lcl|NC_002695.2_cds_NP_308438.1_378,0.534
lcl|NC_002695.2_cds_NP_308439.4_379,0.529
lcl|NC_002695.2_cds_NP_308440.2_380,0.534
lcl|NC_002695.2_cds_NP_308441.1_381,0.557
lcl|NC_002695.2_cds_NP_308442.1_382,0.512
lcl|NC_002695.2_cds_NP_308443.1_383,0.555
lcl|NC_002695.2_cds_NP_308444.1_384,0.537
lcl|NC_002695.2_cds_NP_308445.1_385,0.538
lcl|NC_002695.2_cds_NP_308446.1_386,0.56
lcl|NC_002695.2_cds_NP_308447.1_387,0.564
lcl|NC_002695.2_cds_NP_308448.1_388,0.587
lcl|NC_002695.2_cds_NP_308449.1_389,0.542
lcl|NC_002695.2_cds_NP_308450.2_390,0.539
lcl|NC_002695.2_cds_NP_308451.1_391,0.467
lcl|NC_002695.2_cds_NP_308452.2_392,0.394
lcl|NC_002695.2_cds_NP_308453.1_393,0.552
lcl|NC_002695.2_cds_NP_308454.1_394,0.509
lcl|NC_002695.2_cds_NP_308455.1_395,0.532
lcl|NC_002695.2_cds_NP_308456.1_396,0.524
lcl|NC_002695.2_cds_NP_308457.2_397,0.488
lcl|NC_002695.2_cds_NP_308458.1_398,0.513
lcl|NC_002695.2_cds_NP_308459.1_399,0.464
lcl|NC_002695.2_cds_NP_308460.2_400,0.536
lcl|NC_002695.2_cds_NP_308461.2_401,0.477
lcl|NC_002695.2_cds_NP_308462.1_402,0.539
lcl|NC_002695.2_cds_NP_308464.3_403,0.548
lcl|NC_002695.2_cds_NP_308463.2_404,0.56
lcl|NC_002695.2_cds_NP_308465.1_405,0.524
lcl|NC_002695.2_cds_NP_308466.1_406,0.479
lcl|NC_002695.2_cds_NP_308467.1_407,0.466
lcl|NC_002695.2_cds_NP_308468.1_408,0.519
lcl|NC_002695.2_cds_NP_308469.2_409,0.423
lcl|NC_002695.2_cds_NP_308470.1_410,0.449
lcl|NC_002695.2_cds_NP_308472.3_411,0.511
lcl|NC_002695.2_cds_NP_308471.2_412,0.559
lcl|NC_002695.2_cds_NP_308473.4_413,0.506
lcl|NC_002695.2_cds_NP_308474.2_414,0.542
lcl|NC_002695.2_cds_NP_308475.1_415,0.532
lcl|NC_002695.2_cds_NP_308476.1_416,0.543
lcl|NC_002695.2_cds_NP_308477.1_417,0.532
lcl|NC_002695.2_cds_NP_308478.1_418,0.556
lcl|NC_002695.2_cds_NP_308479.1_419,0.528
lcl|NC_002695.2_cds_NP_308480.3_420,0.547
lcl|NC_002695.2_cds_NP_308481.1_421,0.368
lcl|NC_002695.2_cds_NP_308482.1_422,0.534
lcl|NC_002695.2_cds_NP_308483.1_423,0.542
lcl|NC_002695.2_cds_NP_308484.1_424,0.514
lcl|NC_002695.2_cds_NP_308485.1_425,0.495
lcl|NC_002695.2_cds_NP_308486.2_426,0.534
lcl|NC_002695.2_cds_NP_308487.1_427,0.517
lcl|NC_002695.2_cds_NP_308488.1_428,0.449
lcl|NC_002695.2_cds_NP_308489.1_429,0.454
lcl|NC_002695.2_cds_NP_308490.1_430,0.471
lcl|NC_002695.2_cds_NP_308491.1_431,0.504
lcl|NC_002695.2_cds_NP_308492.2_432,0.469
lcl|NC_002695.2_cds_NP_308493.1_433,0.509
lcl|NC_002695.2_cds_NP_308494.1_434,0.561
lcl|NC_002695.2_cds_NP_308495.1_435,0.518
lcl|NC_002695.2_cds_NP_308496.1_436,0.536
lcl|NC_002695.2_cds_NP_308497.1_437,0.547
lcl|NC_002695.2_cds_NP_308498.1_438,0.529
lcl|NC_002695.2_cds_NP_308499.1_439,0.325
lcl|NC_002695.2_cds_NP_308500.1_440,0.536
lcl|NC_002695.2_cds_NP_308501.1_441,0.537
lcl|NC_002695.2_cds_NP_308502.1_442,0.543
lcl|NC_002695.2_cds_NP_308503.1_443,0.556
lcl|NC_002695.2_cds_NP_308504.1_444,0.518
lcl|NC_002695.2_cds_NP_308505.2_445,0.569
lcl|NC_002695.2_cds_NP_308506.1_446,0.51
lcl|NC_002695.2_cds_NP_308507.2_447,0.498
lcl|NC_002695.2_cds_NP_308508.2_448,0.53
lcl|NC_002695.2_cds_NP_308509.1_449,0.535
lcl|NC_002695.2_cds_NP_308510.1_450,0.497
lcl|NC_002695.2_cds_NP_308511.1_451,0.535
lcl|NC_002695.2_cds_NP_308512.1_452,0.528
lcl|NC_002695.2_cds_NP_308513.1_453,0.508
lcl|NC_002695.2_cds_NP_308514.1_454,0.54
lcl|NC_002695.2_cds_NP_308515.2_455,0.513
lcl|NC_002695.2_cds_NP_308516.3_456,0.486
lcl|NC_002695.2_cds_NP_308517.1_457,0.51
lcl|NC_002695.2_cds_NP_308518.1_458,0.503
lcl|NC_002695.2_cds_NP_308519.1_459,0.517
lcl|NC_002695.2_cds_NP_308520.1_460,0.522
lcl|NC_002695.2_cds_NP_308521.1_461,0.495
lcl|NC_002695.2_cds_NP_308522.1_462,0.52
lcl|NC_002695.2_cds_NP_308523.1_463,0.546
lcl|NC_002695.2_cds_NP_308524.1_464,0.459
lcl|NC_002695.2_cds_NP_308525.1_465,0.516
lcl|NC_002695.2_cds_NP_308526.1_466,0.531
lcl|NC_002695.2_cds_NP_308527.2_467,0.51
lcl|NC_002695.2_cds_NP_308528.2_468,0.521
lcl|NC_002695.2_cds_NP_308529.1_469,0.539
lcl|NC_002695.2_cds_NP_308530.1_470,0.56
lcl|NC_002695.2_cds_NP_308531.1_471,0.51
lcl|NC_002695.2_cds_NP_308532.1_472,0.554
lcl|NC_002695.2_cds_NP_308533.1_473,0.524
lcl|NC_002695.2_cds_NP_308534.3_474,0.543
lcl|NC_002695.2_cds_NP_308535.2_475,0.567
lcl|NC_002695.2_cds_NP_308536.1_476,0.497
lcl|NC_002695.2_cds_NP_308537.2_477,0.479
lcl|NC_002695.2_cds_NP_308538.2_478,0.465
lcl|NC_002695.2_cds_NP_308539.1_479,0.482
lcl|NC_002695.2_cds_NP_308540.1_480,0.406
lcl|NC_002695.2_cds_NP_308541.1_481,0.403
